id,box,budget,votes,russian_title,original_title,year,all_oscars_nom,oscars_wins,genres,n_oscars_wins,genres_tau,keywords_tau,actors_nomineed,directors_nomineed,writers_nomineed,major,indimajor,days_from_year_start,mpaa_r,best_pic_winner,best_pic_nominee,n_oscars_nom,dy_1,dy_2,dy_3,gr_low,gr_high,kw_low,kw_high
0102798,390493908,48000000,169301,Робин Гуд: Принц воров,Robin Hood: Prince of Thieves,1991,1,0,"['Action', 'Adventure', 'Drama', 'Romance']",0,0.2224204563144523,1.2168478613965454,1,0,0,1,0,164,0,0,0,0,164,0,0,0.13694679226582174,0.08547366404863055,0.41346298887588673,0.8033848725206587
4258698,7000000,1500000,7454,Саутсайд с тобой,Southside with You,2016,0,0,"['Biography', 'Drama', 'History', 'Romance']",0,0.3000154573790002,1.0305433300771951,0,0,0,0,1,238,0,0,0,0,180,58,0,0.06413469409146683,0.23588076328753338,0.25203333576929576,0.7785099943078994
0168786,,12500000,31152,История Антуана Фишера,Fish,2002,0,0,"['Biography', 'Drama']",0,0.2947638563890804,0.4220872103803407,1,1,0,0,1,352,0,0,0,0,180,140,32,0.10169423845178789,0.19306961793729255,0.41265013141126744,0.009437078969073254
1149362,,,64102.0,Белая лента,The White Ribbon,2009,2,0,"['Drama', 'History', 'Mystery', 'Thriller']",0,0.20700790830950272,0.7995556523786903,0,0,0,0,1,363,1,0,0,0,180,140,43,0.07053227509388374,0.13647563321561898,0.2885412274099214,0.5110144249687689
1311071,,,33326.0,Убей своих любимых,Kill Your Darlings,2013,0,0,"['Biography', 'Drama', 'Romance', 'Thriller']",0,0.2527337578440267,1.1361440552694237,0,0,0,0,1,288,1,0,0,0,180,108,0,0.06840057488228203,0.18433318296174467,0.26795923879532546,0.8681848164740983
0101969,,,14201.0,Большой каньон,Grand Canyon,1991,1,0,"['Crime', 'Drama']",0,0.17228925570801118,0.8541490001450968,1,1,1,0,0,358,0,0,0,1,180,140,38,0.13694679226582174,0.03534246344218944,0.41346298887588673,0.44068601126921003
1164999,25147786,,81623,Бьютифул,Biutiful,2010,2,0,"['Drama', 'Romance']",0,0.08367184389704159,0.9337025852512734,1,1,1,0,0,362,1,0,0,1,180,140,42,0.0750485262072254,0.008623317689816196,0.2781568456294635,0.6555457396218098
0112818,83088295,11000000,84169,Мертвец идет,Dead Man Walking,1995,4,1,"['Crime', 'Drama']",1,0.16531053502196735,0.8812842007233717,1,0,0,1,0,362,1,0,0,3,180,140,42,0.1348766216182668,0.030433913403700552,0.4728503702496234,0.40843383047374826
2473794,25187026,,23109,Уильям Тёрнер,Mr. Turner,2014,4,0,"['Biography', 'Drama', 'History']",0,0.2911537800777304,0.24868895470503533,0,1,1,0,1,352,1,0,0,0,180,140,32,0.06874278219987487,0.22241099787785554,0.24868895470503533,0.0
0482546,35000000,30000000,26936,Мисс Поттер,Miss Potter,2006,0,0,"['Biography', 'Drama']",0,0.24600981029148303,1.1424503152976258,1,0,0,0,0,362,0,0,0,0,180,140,42,0.08277197306971856,0.16323783722176446,0.32378676515513305,0.8186635501424927
1389072,38716619,68000000,83529,Короче,Downsizing,2017,0,0,"['Drama', 'Sci-Fi']",0,0.05996966588049484,0.530012586728161,1,1,1,1,0,355,1,0,0,0,180,140,35,0.0594234403591387,0.0005462255213561432,0.21788837694984015,0.31212420977832084
0465551,26196359,15000000,71984,Скандальный дневник,Notes on a Scandal,2006,4,0,"['Crime', 'Drama', 'Romance', 'Thriller']",0,0.16729039892683734,0.6442761510542632,1,0,0,0,1,358,1,0,0,3,180,140,38,0.08277197306971856,0.08451842585711877,0.32378676515513305,0.3204893858991301
0117038,119718203,,39114,Майкл,Michael,1996,0,0,"['Comedy', 'Drama', 'Fantasy']",0,0.13253917366608356,0.43508775703074815,1,1,1,0,1,359,0,0,0,0,180,140,39,0.12091039993519831,0.01162877373088525,0.43508775703074815,0.0
0258068,,30000000,26366,Тихий американец,The Quiet American,2002,1,0,"['Drama', 'Romance', 'Thriller', 'War']",0,0.20051860774460528,0.8223740592925232,1,0,0,0,1,325,1,0,0,1,180,140,5,0.10169423845178789,0.09882436929281739,0.41265013141126744,0.4097239278812557
0405159,216763646,30000000,598299,Малышка на миллион,Rope Burns,2004,7,4,"['Drama', 'Sport']",4,0.11548246500278167,1.1400945025234557,0,0,0,1,0,349,0,1,1,6,180,140,29,0.09863931279033226,0.016843152212449405,0.38562592676698587,0.7544685757564698
0117093,,6000000,4720,Мать-тьма,Mother Night,1996,0,0,"['Drama', 'Romance', 'War']",0,0.18263424261944228,0.9359353131626827,1,0,0,0,1,305,1,0,0,0,180,125,0,0.12091039993519831,0.06172384268424397,0.4642881949217447,0.471647118240938
0418763,96889998,72000000,164210,Морпехи,Jarhead,2005,0,0,"['Action', 'Biography', 'Drama', 'War']",0,0.32900302487286404,0.7944908462573199,1,1,0,1,0,307,0,0,0,0,180,127,0,0.09570596974258835,0.23329705513027568,0.3819323694521229,0.412558476805197
1127896,,30000000,27543,Штурмуя Вудсток,Taking Woodstock,2009,0,0,"['Biography', 'Comedy', 'Drama', 'History', 'Music']",0,0.36009224825638086,0.5884105986923815,1,1,1,0,1,239,1,0,0,0,180,59,0,0.07053227509388374,0.28955997316249715,0.2885412274099214,0.29986937128246016
0103855,410900000,25000000,110836,Телохранитель,The Bodyguard,1992,2,0,"['Drama', 'Music', 'Romance', 'Thriller']",0,0.22542089127694964,1.0437263463369002,1,0,1,1,0,329,0,0,0,0,180,140,9,0.1533918346832544,0.07202905659369524,0.4708949258847166,0.5728314204521836
